# x_m,y_m,w_tr_right_m,w_tr_left_m
1.218054537856719,-696.9794673890451,6.614112343006591,6.614112343006591
1.4983585694380772,-697.1986058249042,6.616884444243317,6.616884444243317
2.0576051067365517,-697.6300219468159,6.61987495380826,6.61987495380826
2.8937831318002916,-698.2762888301721,6.622360873717907,6.622360873717907
3.1742067997973895,-698.4952778187585,6.6257922755012,6.6257922755012
3.73355857260189,-698.9265434866082,6.629565157540232,6.629565157540232
4.571155783259856,-699.5709669972573,6.632877274391451,6.632877274391451
4.851538794289098,-699.7900085996058,6.637223547565068,6.637223547565068
5.411237425999472,-700.2208161901169,6.641762169455213,6.641762169455213
5.971069714321206,-700.6514478059896,6.646497177245223,6.646497177245223
6.811067123918617,-701.2927091485867,6.652666258642081,6.652666258642081
7.371129412559759,-701.7230361309015,6.657529656717996,6.657529656717996
7.9297969544274505,-702.1551891986376,6.660032249780596,6.660032249780596
8.489142343644886,-702.5864282841005,6.666492358580853,6.666492358580853
9.049080418487419,-703.0169238108504,6.67075160716028,6.67075160716028
9.608133235408642,-703.4485810139952,6.673400688118092,6.673400688118092
10.166832254384072,-703.8806514220034,6.679986739259731,6.679986739259731
10.726406841031741,-704.3116172381408,6.6828524805701575,6.6828524805701575
11.283800086820072,-704.7453959493976,6.682155191459052,6.682155191459052
11.842025002721734,-705.1780579251622,6.690559791546861,6.690559791546861
12.40206139978922,-705.6084318853033,6.694267093527456,6.694267093527456
12.962052741840335,-706.038866231385,6.696654635928768,6.696654635928768
13.523225220150163,-706.4677544997933,6.700730777825459,6.700730777825459
14.083705918686505,-706.8975387043795,6.7055211645111985,6.7055211645111985
14.644160234246172,-707.3273597886421,6.710062360749045,6.710062360749045
15.205041374829218,-707.756620734717,6.714923071574337,6.714923071574337
15.76565193165984,-708.1862353608212,6.719651067905819,6.719651067905819
16.325817814220773,-708.6164427793053,6.723116478278254,6.723116478278254
16.885813268188706,-709.0468200977309,6.7305099604161605,6.7305099604161605
17.446995282048647,-709.475676829589,6.736019646239742,6.736019646239742
18.008621526881623,-709.9039764637848,6.739947113730742,6.739947113730742
18.568322976028202,-710.3346897665815,6.748868546583847,6.748868546583847
19.129668411173373,-710.7633178182562,6.753176261627366,6.753176261627366
19.69145146307959,-711.1913607124156,6.751246959006113,6.751246959006113
20.257296232405245,-711.614061587363,6.752163604436343,6.752163604436343
20.820078333040215,-712.0408384960785,6.756337869275346,6.756337869275346
21.382894280986815,-712.4675680461555,6.760023482794846,6.760023482794846
21.94605504669201,-712.8938182271522,6.76599987899475,6.76599987899475
22.508961362099548,-713.3204160961845,6.770952522446444,6.770952522446444
23.07289135447355,-713.74568495784,6.774872296443559,6.774872296443559
23.633650029122172,-714.1749050376477,6.7865829705240275,6.7865829705240275
24.193966556477946,-714.604801571312,6.790011449002458,6.790011449002458
